City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
501,Hambantota,LK,86.0,broken clouds,6.12,81.12,Bungalow 63
502,Sattahip,TH,82.4,scattered clouds,12.67,100.9,Makmai Sailom Heights
504,Grand Gaube,MU,80.01,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
506,Saint Marys,US,80.01,clear sky,30.73,-81.55,Spencer House Inn
507,Acajutla,SV,69.01,broken clouds,13.59,-89.83,Stop.
511,Waingapu,ID,90.61,overcast clouds,-9.66,120.26,Pondok Wisata Elim
516,Najran,SA,69.8,clear sky,17.49,44.13,محمد هادي ال فطيح
520,Sao Gabriel Da Cachoeira,BR,73.69,broken clouds,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
522,Tautira,PF,77.0,shower rain,-17.73,-149.15,Pension Oaoa
524,Isla Mujeres,MX,75.2,broken clouds,21.23,-86.73,Hotel La Joya Isla Mujeres
528,Antalaha,MG,81.41,few clouds,-14.9,50.28,Hotel Vitasoa
530,Vanimo,PG,79.05,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
531,Nouadhibou,MR,69.8,clear sky,20.93,-17.03,El Medina
533,Portobelo,PA,77.0,overcast clouds,9.55,-79.65,Scuba Portobelo
534,Porto Belo,BR,72.0,few clouds,-27.16,-48.55,Costa Verde Beach Hotel
544,Ha Giang,VN,83.64,broken clouds,22.83,104.98,Truong Xuan Ecolodge
551,Tongzi,CN,75.74,scattered clouds,28.78,105.09,
553,Lakatoro,VU,75.2,light intensity shower rain,-16.1,167.42,Lakatoro Palm Lodge
556,Wyndham,US,71.01,overcast clouds,37.7,-77.61,Hilton Richmond Hotel & Spa/Short Pump
560,Semporna,MY,87.8,few clouds,4.48,118.61,"Han Palace Hotel, Semporna, Sabah."
562,Jiaojiang,CN,73.0,clear sky,28.68,121.44,Fangyuan Hotel
564,Sao Felix Do Xingu,BR,72.0,scattered clouds,-6.64,-51.99,Apart Hotel Rio Xingu
566,Upata,VE,71.65,broken clouds,8.01,-62.4,Posada Villa Nela
567,Brikama,GM,73.4,clear sky,13.27,-16.65,Nilakoto
570,Nishihara,JP,77.0,broken clouds,26.18,127.76,Minshuku Agaihama
