City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
220,Kutum,SD,2020-11-09 02:57:36,14.2,24.67,61.3,36,62,7.09
221,Sibolga,ID,2020-11-09 02:57:37,1.74,98.78,84.25,68,100,3.13
222,Charters Towers,AU,2020-11-09 02:57:37,-20.1,146.27,87.37,37,64,18.39
223,Ulaanbaatar,MN,2020-11-09 02:57:37,47.91,106.88,23.0,67,0,3.04
224,Baruun-Urt,MN,2020-11-09 02:57:37,46.68,113.28,36.57,71,0,10.13
225,Bom Jesus,BR,2020-11-09 02:57:37,-9.07,-44.36,74.44,67,0,2.89
226,George,ZA,2020-11-09 02:57:37,-33.96,22.46,53.6,87,99,9.17
227,Longyearbyen,SJ,2020-11-09 02:57:38,78.22,15.64,26.6,79,75,8.05
228,Souillac,MU,2020-11-09 02:57:38,-20.52,57.52,73.4,88,40,11.41
229,Orizona,BR,2020-11-09 02:57:38,-17.03,-48.3,70.48,78,96,5.3
230,Mitsamiouli,KM,2020-11-09 02:57:38,-11.38,43.28,79.86,78,99,13.49
231,Kavaratti,IN,2020-11-09 02:57:38,10.57,72.64,84.04,74,1,6.82
232,Buchanan,LR,2020-11-09 02:57:38,5.88,-10.05,78.17,86,97,3.6
233,Itarema,BR,2020-11-09 02:57:38,-2.92,-39.92,80.94,77,7,18.01
234,Oktyabrskiy,RU,2020-11-09 02:57:39,54.48,53.47,31.62,92,51,11.05
235,Zyryanka,RU,2020-11-09 02:57:39,65.75,150.85,-3.15,91,84,6.96
236,Sao Filipe,CV,2020-11-09 02:57:39,14.9,-24.5,79.2,76,6,7.4
237,Klaksvik,FO,2020-11-09 02:57:39,62.23,-6.59,48.2,100,100,14.99
238,Sur,OM,2020-11-09 02:57:39,22.57,59.53,77.4,61,0,2.51
239,Dikson,RU,2020-11-09 02:57:40,73.51,80.55,-0.4,91,95,14.29
240,Hadejia,NG,2020-11-09 02:57:40,12.45,10.04,68.5,30,70,7.27
241,Florianopolis,BR,2020-11-09 02:56:42,-27.61,-48.5,72.0,94,75,1.12
242,Meulaboh,ID,2020-11-09 02:57:40,4.14,96.13,84.11,69,78,1.57
243,Sechura,PE,2020-11-09 02:57:40,-5.56,-80.82,64.24,79,40,9.95
244,Lerwick,GB,2020-11-09 02:57:40,60.15,-1.15,51.8,93,100,12.75
245,Mnogovershinnyy,RU,2020-11-09 02:57:41,53.94,139.92,15.19,95,100,12.93
246,Las Margaritas,MX,2020-11-09 02:57:41,16.32,-91.98,61.27,93,79,1.23
247,Mayumba,GA,2020-11-09 02:57:41,-3.43,10.66,74.23,95,100,5.23
248,Jiuquan,CN,2020-11-09 02:57:41,39.74,98.52,46.13,36,0,2.71
249,Portland,US,2020-11-09 02:55:20,45.52,-122.68,39.99,69,1,2.98
250,Villa Maria,AR,2020-11-09 02:57:41,-32.41,-63.24,65.21,80,100,6.69
251,Faanui,PF,2020-11-09 02:57:41,-16.48,-151.75,78.62,77,92,15.61
252,Bar Harbor,US,2020-11-09 02:57:42,44.39,-68.2,50.0,93,90,6.93
253,Wanaka,NZ,2020-11-09 02:57:42,-44.7,169.15,56.23,56,86,4.99
254,Sitka,US,2020-11-09 02:57:42,57.05,-135.33,42.8,75,90,24.16
255,Lamu,KE,2020-11-09 02:57:42,-2.27,40.9,78.22,82,97,4.59
256,Pangnirtung,CA,2020-11-09 02:57:42,66.15,-65.71,7.77,82,17,3.94
257,Moctezuma,MX,2020-11-09 02:57:43,29.8,-109.67,59.83,47,0,5.91
258,Santiago De Cuba,CU,2020-11-09 02:57:43,20.02,-75.82,80.6,88,40,6.93
259,Havre-Saint-Pierre,CA,2020-11-09 02:57:43,50.23,-63.6,23.0,92,75,5.39
260,Dingle,PH,2020-11-09 02:57:43,11.0,122.67,85.26,73,27,2.21
261,Sao Joao Da Barra,BR,2020-11-09 02:57:43,-21.64,-41.05,74.91,92,100,12.64
262,Berlevag,NO,2020-11-09 02:57:44,70.86,29.09,34.07,89,100,10.74
263,Okhotsk,RU,2020-11-09 02:57:44,59.38,143.3,8.51,88,7,20.92
264,Brae,GB,2020-11-09 02:57:44,60.4,-1.35,51.8,93,100,12.75
265,Severo-Kurilsk,RU,2020-11-09 02:57:44,50.68,156.12,36.09,83,100,18.66
