City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
582,Maceio,BR,-9.67,-35.74,69.8,94,20,3.36,few clouds
583,Ancud,CL,-41.87,-73.82,54.0,93,46,5.82,scattered clouds
584,Kalmunai,LK,7.42,81.82,86.92,66,92,7.58,heavy intensity rain
585,Entre Rios,BR,-11.94,-38.08,67.28,98,14,2.1,few clouds
586,Abadan,IR,30.34,48.3,69.8,83,40,11.41,moderate rain
587,Edson,CA,53.58,-116.44,6.8,84,1,6.93,clear sky
588,Portsmouth,GB,50.8,-1.09,52.0,84,39,1.01,scattered clouds
589,Camopi,GF,3.17,-52.32,72.05,97,50,1.72,scattered clouds
590,Oussouye,SN,12.48,-16.55,77.0,100,0,4.7,clear sky
591,Rock Sound,BS,24.9,-76.2,79.48,78,85,19.15,overcast clouds
592,Camana,PE,-16.62,-72.71,62.47,76,34,5.91,scattered clouds
593,Yabelo,ET,4.88,38.08,65.79,71,39,15.28,scattered clouds
594,Ekibastuz,KZ,51.67,75.37,27.34,96,83,13.33,light snow
595,Charters Towers,AU,-20.1,146.27,88.21,34,15,18.95,few clouds
596,Ankang,CN,32.68,109.02,72.1,42,0,1.01,clear sky
597,Dekar,BW,-21.53,21.93,76.89,52,12,17.74,few clouds
598,Necochea,AR,-38.55,-58.74,60.01,87,16,8.99,few clouds
599,Bagdarin,RU,54.43,113.6,27.43,81,0,2.44,clear sky
600,Okhotsk,RU,59.38,143.3,6.22,86,0,12.59,clear sky
601,Mathathane,BW,-22.27,28.75,70.88,60,34,20.65,scattered clouds
602,Elizabeth City,US,36.29,-76.25,75.2,94,90,8.05,overcast clouds
603,Tvoroyri,FO,61.56,-6.81,37.4,93,83,3.36,broken clouds
604,Dhidhdhoo,MV,6.88,73.1,83.16,70,26,9.33,scattered clouds
605,Halifax,CA,44.65,-63.57,64.0,93,97,17.22,overcast clouds
606,Sulangan,PH,11.14,123.72,84.31,73,71,5.21,broken clouds
607,Tezu,IN,27.92,96.17,84.42,36,0,2.91,clear sky
608,Berdigestyakh,RU,62.1,126.7,17.92,97,100,4.81,overcast clouds
609,Coxim,BR,-18.51,-54.76,72.23,79,42,3.0,moderate rain
610,Baixa Grande,BR,-11.96,-40.17,67.32,89,29,2.28,scattered clouds
611,Manzhouli,CN,49.6,117.43,28.96,89,0,19.64,clear sky
612,Baruun-Urt,MN,46.68,113.28,38.93,54,0,10.63,clear sky
613,Kajaani,FI,64.23,27.73,33.8,100,90,4.7,overcast clouds
614,Emmett,US,43.87,-116.5,32.0,80,20,3.0,few clouds
615,Hlotse,LS,-28.87,28.05,60.15,63,0,5.73,clear sky
616,Basoko,CD,1.24,23.62,74.14,85,99,3.02,overcast clouds
617,Omsukchan,RU,62.53,155.8,-13.77,85,100,4.88,overcast clouds
618,Kizilskoye,RU,52.73,58.89,25.84,86,69,12.06,broken clouds
619,Nongpoh,IN,25.9,91.88,84.2,50,0,2.24,clear sky
620,Srikakulam,IN,18.3,83.9,85.23,62,67,14.56,light rain
621,Bastia,FR,42.67,9.33,59.0,87,0,4.7,clear sky
622,Kaspiysk,RU,42.88,47.64,42.8,48,40,8.95,scattered clouds
623,Rio Grande,BR,-32.03,-52.1,63.0,98,99,1.01,overcast clouds
624,Presidencia Roque Saenz Pena,AR,-26.79,-60.44,66.99,93,3,1.01,clear sky
625,Kondinskoye,RU,59.65,67.41,21.92,96,95,9.93,overcast clouds
626,Ibipeba,BR,-11.64,-42.01,69.06,81,41,7.92,scattered clouds
627,Jaque,PA,7.52,-78.17,76.86,85,100,3.85,overcast clouds
628,Dukat,RU,62.55,155.55,-18.38,87,100,4.92,overcast clouds
629,Dzhebariki-Khaya,RU,62.22,135.8,3.33,93,95,2.71,overcast clouds
630,Bronnoysund,NO,65.46,12.2,46.4,65,0,8.05,clear sky
631,Saint-Junien,FR,45.88,0.9,51.01,93,0,5.82,clear sky
632,Beaupre,CA,47.04,-70.9,55.4,54,73,9.17,broken clouds
633,Sombrio,BR,-29.11,-49.62,66.06,93,55,3.65,broken clouds
634,Aguimes,ES,27.91,-15.45,68.0,77,20,5.82,few clouds
635,Ayna,PE,-12.65,-73.92,61.5,77,91,0.31,light rain
636,Labuhan,ID,-6.88,112.21,89.13,63,100,13.38,light rain
637,Brusque,BR,-27.1,-48.92,70.0,99,41,2.35,scattered clouds
638,Havelock,US,34.88,-76.9,77.0,92,100,4.0,moderate rain
639,Wajima,JP,37.4,136.9,55.4,62,20,6.93,few clouds
640,Makinsk,KZ,52.63,70.42,24.26,80,100,11.18,overcast clouds
641,Olinda,BR,-8.01,-34.86,78.8,74,40,6.93,scattered clouds
642,Aragarcas,BR,-15.9,-52.25,73.47,86,100,3.85,light rain
643,Ler,SS,8.3,30.14,80.4,38,0,3.67,clear sky
644,Abha,SA,18.22,42.51,64.4,82,0,5.82,clear sky
645,Kenora,CA,49.82,-94.43,24.8,92,90,3.36,light snow
646,Benghazi,LY,32.12,20.07,67.26,75,12,10.58,few clouds
647,Morki,RU,56.43,48.99,27.07,95,100,12.1,snow
648,Chapada Dos Guimaraes,BR,-15.46,-55.75,75.2,83,75,3.36,moderate rain
649,Paratinga,BR,-12.69,-43.18,71.44,68,38,4.92,scattered clouds
650,Xai-Xai,MZ,-25.05,33.64,72.61,73,47,17.34,scattered clouds
651,Tshikapa,CD,-6.42,20.8,74.14,90,90,1.25,light rain
652,Jiutai,CN,44.15,125.83,57.2,50,75,15.66,broken clouds
653,Aquiraz,BR,-3.9,-38.39,78.8,88,75,13.87,broken clouds
654,Venice,US,27.1,-82.45,80.01,94,90,17.22,light rain
655,Emerald,AU,-23.53,148.17,90.0,24,0,10.29,clear sky
656,Arlit,NE,18.74,7.39,66.56,27,0,5.82,clear sky
657,Batagay-Alyta,RU,67.8,130.41,-5.28,89,11,1.7,few clouds
658,Oksfjord,NO,70.24,22.35,37.4,73,0,21.92,clear sky
659,Tarakan,ID,3.3,117.63,83.66,72,35,7.18,scattered clouds
660,Rafai,CF,4.95,23.92,75.06,78,34,2.48,scattered clouds
661,Shelburne,CA,44.08,-80.2,41.0,77,17,6.31,few clouds
662,Ponta Delgada,PT,37.73,-25.67,57.2,67,40,8.05,scattered clouds
663,Caninde,BR,-4.36,-39.31,77.11,78,17,4.74,few clouds
664,Itacare,BR,-14.28,-39.0,72.28,88,63,5.59,broken clouds
665,Lucapa,AO,-8.42,20.74,68.7,96,100,2.57,overcast clouds
666,Alta Floresta,BR,-9.88,-56.09,70.41,98,98,3.29,overcast clouds
667,Kovur,IN,14.48,79.98,85.28,70,100,11.74,light rain
668,San Jose De Guanipa,VE,8.89,-64.17,75.54,85,23,10.42,few clouds
669,Kunya,NG,12.22,8.53,59.0,72,89,3.36,overcast clouds
670,Los Llanos De Aridane,ES,28.66,-17.92,68.0,77,0,4.7,clear sky
671,Bubaque,GW,11.28,-15.83,82.92,80,0,12.73,light rain
672,Egvekinot,RU,66.32,-179.17,16.45,95,100,14.74,overcast clouds
673,Ibra,OM,22.69,58.53,81.21,34,0,2.75,clear sky
674,Yenagoa,NG,4.92,6.26,75.97,91,14,2.01,few clouds
675,Wahiawa,US,21.5,-158.02,78.8,88,90,9.17,overcast clouds
676,Peniche,PT,39.36,-9.38,60.01,85,91,8.01,overcast clouds
677,Hoa Binh,VN,20.81,105.34,82.4,30,0,9.17,clear sky
678,Consett,GB,54.85,-1.83,48.99,89,99,4.0,light rain
679,Topolobampo,MX,25.6,-109.05,63.0,79,37,3.0,scattered clouds
680,Katherine,AU,-14.47,132.27,100.4,35,48,9.17,scattered clouds
681,Pimentel,PE,-6.84,-79.93,61.84,89,93,9.4,overcast clouds
682,Pitsunda,GE,43.16,40.34,50.0,71,75,11.18,light rain
